unique_id,release_year,title,origin,genre,plot
1,2000, 102 Dalmatians,American,comedy,"After three years in prison, Cruella de Vil has been cured of her desire for fur coats by Dr. Pavlov and is released into the custody of the probation office on the provision that she will be forced to pay the remainder of her fortune (eight million pounds) to all the dog shelters in the borough of Westminster should she repeat her crime. Cruella therefore mends her working relationship with her valet Alonzo and has him lock away all her fur coats."
2,2000,28 Days,American,drama,"Gwen Cummings (Sandra Bullock) spends her nights in a drunken haze with her boyfriend, Jasper (Dominic West). She ruins her sister (Elizabeth Perkins) Lily's wedding by showing up late and disheveled, delivering a drunken, rambling speech, and knocking over the wedding cake. Intoxicated, Gwen steals a limousine from the reception, tries to locate a cake store, and winds up losing control of the car and crashing into a house."
3,2000,3 Strikes,American,comedy,"Robert Douglas (Brian Hooks) is in prison for one of two felonies he has previously committed. While in prison, he watches to a local news report that states California has instituted the habitual offenders law, commonly referred to as the ""three-strikes"" law, which will put offenders with three felonies in prison for a minimum of twenty-five years. On his last day in prison, Robert is ecstatic about being released, informing his girlfriend, Juanita (N'Bushe Wright), of such and contacting his friend, Tone (Faizon Love) to pick him up after he gets out."
4,2000,The 6th Day,American,science fiction,"At some point in the indeterminate near future, the cloning of animals and human organs has become routine. Cloning entire humans, however, is prohibited by what are known as ""Sixth Day"" laws. Billionaire Michael Drucker, owner of cloning corporation Replacement Technologies, hires charter pilot Adam Gibson and partner Hank Morgan for a ski trip."
5,2000,The Adventures of Rocky and Bullwinkle,American,comedy,"35 years since their show's cancellation in 1964, Rocket J. ""Rocky"" Squirrel and Bullwinkle J. Moose have been relegated to reruns."
6,2000,All the Pretty Horses,American,western,"In 1949, young cowboy John Grady Cole's maternal grandfather dies. John had grown up on his grandfather's ranch, but it was put up for sale when the old man died. His mother has no ties to it anymore, and would rather have the money."
7,2000,Almost Famous,American,comedy,"In 1969, child prodigy William Miller struggles to fit in with the world. His widowed mother Elaine has led him to believe he is 13 years old, until William's older sister, Anita, tells their mother to tell the truth. His age is actually 11; his mother had him start first grade at 5 years old and then he skipped fifth grade."
8,2000,American Psycho,American,comedy,"In 1987, wealthy New York investment banker Patrick Bateman's life revolves around dining at trendy restaurants while keeping up appearances for his fiancée Evelyn and his circle of wealthy and shallow associates, most of whom he dislikes. Bateman describes the material accoutrements of his lifestyle, including his daily morning exercise, beautification routine, designer wardrobe and expensive furniture. He also discusses his music collection, which includes Huey Lewis and the News, Phil Collins and Whitney Houston."
9,2000,Animal Factory,American,crime drama,"Ron Decker, a young man convicted for drug possession, is sent to prison where veteran con Earl Copen takes Decker under his wing and introduces him into his own gang. Copen first helps out Decker when three Puerto Ricans attempt to lure him into a cell block to rape him, however Copen sees through their plans and talks to the Puerto Ricans, who quickly abandon interest in Decker. Over the next few days, Copen helps Decker out by getting him better jobs, food, and even transferring him to his own cell block."
10,2000,The Art of War,American,action,"Neil Shaw (Snipes) is an operative for the United Nations's covert dirty-tricks squad, using espionage and quasi-ethical tactics to secure peace and cooperation. In Hong Kong, Shaw infiltrates a Chinese New Year party held by Chinese business mogul David Chan (Tagawa) and covertly hacks an office laptop of a North Korean Defense Minister, and blackmails him with the misappropriation of U.N. aid money, in exchange for continuing negotiations with South Korea."
11,2000,Autumn in New York,American,romance,"Will Keane (Richard Gere) is a successful 48-year-old restaurateur and womanizer who is the subject of a recent New York magazine cover story. Charlotte Fielding (Winona Ryder) is a free-spirited, 22-year-old woman brought to Will's upscale restaurant by her grandmother and friends to celebrate her birthday. Will notices her immediately and her grandmother, an old friend of his, introduces them."
12,2000, Bait,American,action,"When fast talking, petty thief and hustler Alvin Sanders (Jamie Foxx) gets arrested for stealing prawns, the worst of his problems would seem to be going to jail. Unfortunately, he ends up sharing a cell with John Delano Jaster (Robert Pastorelli) a guy who, while stealing $42 million in gold from the Federal Reserve, double-crossed his partner, Bristol (Doug Hutchison)—a partner with a knack for computers and a long memory. While being interrogated by hardball Treasury Agent Edgar Clenteen (David Morse), the double-crosser dies from heart failure."
13,2000,Bamboozled,American,satire,"Pierre Delacroix (real name Peerless Dothan) is an uptight, Harvard-educated black man working for the television network CNS. At work, he has to endure torment from his boss Thomas Dunwitty, a tactless, boorish white man. Not only does Dunwitty use AAVE and the word ""nigger"" repeatedly in conversations, he also proudly proclaims that he is more black than Delacroix and that he can use ""nigger"" since he is married to a black woman and has two mixed-race children."
14,2000,Battlefield Earth,American,science fiction,"In the year 3000, Earth is a desolate wasteland. The Psychlos, a brutal race of giant humanoid aliens, have ruled the planet for a thousand years, and use human slave labor to strip its minerals and other resources. A few primitive hunter-gatherer tribes of humans live in freedom in remote, hidden areas, but after ten centuries of Psychlo oppression they have abandoned any hope of regaining control of their planet."
15,2000,The Beach,American,adventure,"Richard, a young American seeking adventure in Bangkok, meets the eccentric Daffy, who tells him of a pristine, uninhabited island in the Gulf of Thailand with a beautiful hidden beach and lagoon. Daffy explains that he and other travelers settled there in secret several years earlier, but difficulties arose and he chose to leave. Daffy commits suicide, leaving Richard a map to the island."
16,2000,Beat,American,drama,"The film opens with Vollmer balancing a water tumbler on her head as Burroughs, her husband, aims a gun at her as she entices him to shoot her. The film then cuts to Joan and Burroughs in the months prior in Mexico City, as Burroughs is leaving on a trip to Guatemala to meet his male lover, Lee. Joan, despondent from William's affair and his disinterest in her, is left to take care of their two children while he goes on his vacation."
17,2000,Beautiful,American,comedy,"Mona Hibbard (Driver) is a young woman from a troubled home who has one overarching goal: to become the winner of the Miss America pageant. Her mother is an alcoholic who graduates from berating her young daughter for not doing well in kids' pageants to declaring she will not provide any money or support for Mona if she keeps competing. Fortunately for Mona, she becomes best friends with Ruby Stilwell (Adams) and Ruby's kind grandmother (Herta Ware) joins her sweet granddaughter to support Mona as she begins her steady rise through the beauty pageant ranks."
18,2000,Beautiful Joe,American,comedy,"A dying man finds that horses, blondes, and the Mob may end his life faster than cancer. Joe (Billy Connolly) is a regular guy who runs a flower shop and has never had much in the way of good luck. Things seem to be grim for Joe when he's diagnosed with a brain tumor, but a bit of good fortune appears on the horizon when he wins a jackpot at the race track."
